dataset_id,split_role,method,target,rmse,mae,bias,n_attempted,n_completed,n_timeout,n_error,execution_status,source_commit
R52-C-75,test,exogenous_alpha_wgs_xt,CO2_dry_vol_pct,4.828079220862458,4.8166237008511095,4.8166237008511095,17,17,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,exogenous_alpha_wgs_xt,CO_dry_vol_pct,18.368838723099888,18.362491871006743,18.362491871006743,17,17,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,exogenous_alpha_wgs_xt,H2_CO_ratio,0.4109967430313254,0.4109830497184399,-0.4109830497184399,17,17,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,exogenous_alpha_wgs_xt,H2_dry_vol_pct,26.370165159371464,26.369754368,-26.369754368,17,17,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,exogenous_alpha_wgs_xt,dry_syngas_flow,82370.09669496727,82354.25379779599,-82354.25379779599,17,17,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,exogenous_alpha_wgs_xt,CO2_dry_vol_pct,6.5778273489992625,5.903284304656471,5.903284304656471,81,81,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,exogenous_alpha_wgs_xt,CO_dry_vol_pct,19.399966425906975,19.269169831252107,19.269169831252107,81,81,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,exogenous_alpha_wgs_xt,H2_CO_ratio,0.4420054449729635,0.4418027774886408,-0.4418027774886408,81,81,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,exogenous_alpha_wgs_xt,H2_dry_vol_pct,27.655149748448867,27.65052878391056,-27.65052878391056,81,81,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,exogenous_alpha_wgs_xt,dry_syngas_flow,72975.70628004638,72855.71156568138,-72855.71156568138,81,81,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,exogenous_alpha_wgs_xt,CO2_dry_vol_pct,1.3390437244774187,1.2807962746850483,1.2807962746850483,44,44,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,exogenous_alpha_wgs_xt,CO_dry_vol_pct,22.65859866158165,22.650075476781357,22.650075476781357,44,44,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,exogenous_alpha_wgs_xt,H2_CO_ratio,0.42135261462854046,0.421339536494029,-0.421339536494029,44,44,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,exogenous_alpha_wgs_xt,H2_dry_vol_pct,26.686338280727448,26.685907935391263,-26.685907935391263,44,44,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,exogenous_alpha_wgs_xt,dry_syngas_flow,75223.06786122336,75204.22000393311,-75204.22000393311,44,44,0,0,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
