dataset_id,window_id,phase,split_role,alpha_name,feasibility_status,source_commit,target,fd_gradient,scaled_sensitivity,target_scale,parameter_scale,status,evidence_field
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.0740506655134255,0.0002221519965402765,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,3.36668269754061e-14,1.010004809262183e-16,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,-0.06870798220480392,-0.00020612394661441178,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,4.217278150404365e-16,1.2651834451213096e-16,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,0.0,0.0,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,-9.57084954818583,-0.09570849548185831,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-3.3134370555602557e-14,-3.3134370555602555e-16,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,3.928603061719825,0.03928603061719825,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-4.102634685962845e-16,-4.102634685962845e-16,0.1,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,1,train,alpha_char_gasification,design_only_no_clean_grouped_path,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,,,,,,unavailable,insufficiently_supported
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.08611192114903103,0.0002583357634470931,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-4.219336403408447e-14,-1.265800921022534e-16,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,-0.07725105395503351,-0.00023175316186510055,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-5.340510569795743e-16,-1.602153170938723e-16,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,0.0,0.0,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,-10.13694795023532,-0.10136947950235321,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-3.392670022069838e-15,-3.392670022069838e-17,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,3.8804860738110123,0.038804860738110125,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-4.2410169760148434e-17,-4.2410169760148434e-17,0.1,0.1,completed,pending_svd
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,alpha_char_gasification,design_only_no_clean_grouped_path,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,,,,,,unavailable,insufficiently_supported
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.13827621846379176,0.0004148286553913753,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-4.613633960788891e-15,-1.3840901882366673e-17,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,-0.1089134516417605,-0.0003267403549252815,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-5.4764278259871027e-17,-1.6429283477961307e-17,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,0.0,0.0,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,-10.856249586988223,-0.10856249586988223,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-5.079848023738435e-16,-5.079848023738436e-18,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,2.097371546070467,0.02097371546070467,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-5.948364260313552e-18,-5.948364260313552e-18,0.1,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,train,alpha_char_gasification,design_only_no_clean_grouped_path,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,,,,,,unavailable,insufficiently_supported
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.11187465840715552,0.0003356239752214666,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,2.3169507138477795e-13,6.950852141543339e-16,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,-0.09111074200642841,-0.00027333222601928526,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,2.7218748057100116e-15,8.165624417130034e-16,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,0.0,0.0,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,-9.989796718263971,-0.09989796718263971,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-2.3026413309726298e-17,-2.30264133097263e-19,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,2.3978123177283264,0.023978123177283265,10.0,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_volatile_oxidation,feasible_existing_op_conds_shared_scalar,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-2.639229028674666e-19,-2.639229028674666e-19,0.1,0.1,completed,pending_svd
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,2,train,alpha_char_gasification,design_only_no_clean_grouped_path,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,,,,,,unavailable,insufficiently_supported
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.13875907314518574,0.00041627721943555723,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_volpct_dry,-3.81996530893882e-15,-1.145989592681646e-17,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO2_volpct_dry,-0.1074610436225144,-0.0003223831308675432,10.0,0.03,completed,pending_svd
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,alpha_wgs,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,H2_CO_ratio,-4.4499640077973815e-17,-1.3349892023392144e-17,0.1,0.03,completed,pending_svd
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,alpha_char_oxidation,feasible_existing_op_conds,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,CO_volpct_dry,0.0,0.0,10.0,0.03,completed,pending_svd
